,cohort,founderImage,founders,id,logo,name,projectDescription,projectLocation,projectStatus,sector,website
21,"{'label': 'EF4 (London)', 'value': 'ef4London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Alumni-Placeholder/_w1024/Pixel_emoji_3.png,"[{'col1': 'Mikhail Dubov', 'founderName': 'Mikhail Dubov'}, {'col1': 'Dmitry Isupov', 'founderName': 'Dmitry Isupov'}]",284,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Chattermill.png,Chattermill,"<p><strong>Chattermill</strong> enables companies to put customer experience at the heart of their business. We capture customer feedback at scale and turn it into actionable insight. Under the hood, we use cutting edge natural language processing and machine learning to extract valuable information from free form comments. </p>
<p><strong><br /></strong></p>
<p><strong>Dmitry Isupov</strong> has a degree in Mathematics from Bristol and a background in quantitative marketing working with clients such Jaguar Land Rover.</p>
<p><br /></p>
<p><strong>Mikhail Dubov</strong> is a full-stack developer with a degree from Cambridge and background in data analytics, having worked at Citigroup.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Enterprise Solutions', 'value': 'enterpriseSolutions', 'selected': True}",https://chattermill.io/
22,"{'label': 'EF5 (London)', 'value': 'ef5London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/CLEO.JPG,"[{'col1': 'Barney Hussey-Yeo', 'founderName': 'Barney Hussey-Yeo'}]",287,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Cleo.jpg,Cleo,"<p><strong>Cleo</strong> is an A.I. assistant to manage your finances. Using machine learning we automatically classify your transactions, deliver relevant insights into your spending and give you a clear overview of your finances. And users can get all of this, just by sending Cleo a text.</p>
<p><br /></p>
<p>Rather than creating a bank, Cleo sits on top of existing infrastructure to give our users an elegant and user-friendly banking experience. By integrating APIs for banks and other financial service providers, Cleo aims to become a hub for each user's banking activity. </p>
<p><br /></p>
<p><strong>Barney Hussey-Yeo</strong> holds a Master’s in Machine Learning from the University of Bristol and has spent the last year working as a Decision Scientist at Wonga, analysing financial data.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Finance', 'value': 'finance', 'selected': True}",https://www.meetcleo.com/
23,"{'label': 'EF1 (London)', 'value': 'ef1London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Alumni-Placeholder/_w1024/Pixel_emoji_4_170628_123911.png,"[{'col1': 'Andrew Jervis', 'founderName': 'Andrew Jervis'}, {'col1': 'Felix Kenton', 'founderName': 'Felix Kenton'}]",289,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/ClickMechanic_logo-square.png,ClickMechanic,"<p><strong>ClickMechanic</strong> is a marketplace for car mechanics. The service is underpinned by Europe's first industry standard car repair quote engine. The system uses millions of industry data points combined with data mapping, cleaning and machine learning to provide greater transparency and trust to the car repair process
</p>
<p><br /></p>
<p><strong>Andrew Jervis</strong> has a Masters Degree in Enterprise and Innovation from The University of Manchester, and previously worked in banking. He previously started an automotive parts aggregator which he sold prior to joining Entrepreneur First.</p>
<p><br /></p>
<p><strong>Felix Kenton</strong> has a Masters in Information Systems from Imperial and previously started a gaming company.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Commerce/Marketplace', 'value': 'commerceMarketplace', 'selected': True}",https://www.clickmechanic.com/
24,"{'label': 'EF5 (London)', 'value': 'ef5London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/CLOUDNC.JPG,"[{'col1': 'Chris Emery', 'founderName': 'Chris Emery'}, {'col1': 'Theo Saville', 'founderName': 'Theo Saville'}]",307,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/CloudNC-symbol-only-negative-color.png,CloudNC,"<p><strong>CNC</strong> milling machines are at the heart of manufacturing with almost half a trillion dollars’ worth of components produced by them each year. Despite this, their software is in the dark ages. We’re researching and applying breakthrough AI methods to control these machines automatically and more optimally than ever before, revolutionising how the things around us are made. Our mission is to make milling machines one click devices that can produce a part easily, efficiently and with minimal human intervention, effectively halving the cost of their use. </p>
<p><br /></p>
<p><strong>Theo Saville</strong> has a master’s in manufacturing and mechanical Engineer from Warwick. He has worked in weapons development, surveillance equipment development for policing and counter-terrorism, industrial 3D printing research, as a freelance engineer, and in door-to-door sales. </p>
<p><br /></p>
<p><strong>Chris Emery</strong> has a master’s in computing from Imperial College London. He has been programming since he was 12, and started selling shareware when he was 15. He co-created “EventBox”, which was acquired by Realmac Software. He then worked as a software engineer at Google, before leaving and founding and selling Five Sided Software.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Manufacturing/Industrial', 'value': 'manufacturingIndustrial', 'selected': True}",https://angel.co/cloudnc
25,"{'label': 'EF2 (London)', 'value': 'ef2London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/code-kingdoms.png,"[{'col1': 'Hugh Collins', 'founderName': 'Hugh Collins'}, {'col1': 'Ross Targett', 'founderName': 'Ross Targett'}]",309,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/codekingdoms.jpg,Code Kingdoms,"<p><strong></strong><strong>Code Kingdoms</strong> wants to inspire kids to learn one of the essential creative skills of the 21st Century – coding.</p>
<p><strong><br /></strong></p>
<p><strong>Code Kingdoms</strong> allows kids aged 6 to 13 to learn computational thinking by designing their own game levels with real JavaScript code, and then sharing them with friends. This also promotes essential skills like problem-solving, teamwork and time management.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Education', 'value': 'education', 'selected': True}",https://codekingdoms.com/
26,"{'label': 'EF8 (London)', 'value': 'ef8London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/ConnectMed.png,"[{'col1': 'Melissa McCoy', 'founderName': 'Melissa McCoy'}, {'col1': 'Chris Harding', 'founderName': 'Chris Harding'}]",1640,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/ConnectMed.png,ConnectMed,"<p><strong>ConnectMed </strong>is plugging the primary healthcare gap in developing countries. We solve this by turning local pharmacies into fully-functional treatment centres, delivering the remote expertise of medical professionals to convenient locations minutes away. ConnectMed provides teleconferencing, medical devices, point-of-care diagnostic tests, and physical examinations in a single kiosk.<br /></p>
<p><strong><br /></strong></p>
<p><strong>Melissa McCoy </strong>has spent the last two years researching healthcare delivery in Africa while studying for her MSc Computer Science and MBA at the University of Oxford where she was a Rhodes Scholar. She also spent five years working in Africa and Latin America as an engineer, consultant and entrepreneur.<br /><br /><strong><br /></strong></p>
<p><strong>Chris Harding </strong>has six years of experience in engineering consumer and enterprise software. He has an MA in Computer Science from the University of Cambridge. Before co-founding ConnectMed, he led the Palantir's anti-human trafficking project.</p>
<p></p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Digital Health', 'value': 'healthcare', 'selected': True}",https://connectmed.co.ke/
27,"{'label': 'EF5 (London)', 'value': 'ef5London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/CONTEXT-SCOUT.JPG,"[{'col1': 'Marc Sloan', 'founderName': 'Marc Sloan'}, {'col1': ""Andy O'Harney"", 'founderName': ""Andy O'Harney""}]",311,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/ef-alumni-contextscout-b.png,Context Scout,"<p><strong></strong><strong>Context Scout</strong> is a research-led software company developing new information retrieval and machine learning based approaches for web search, automated professional assistance and task based IR. After raising their seed round in 2016 they’ve expanded their team to include PhDs on topics such as NLP, knowledge representation and deep learning. </p>
<p><br /></p>
<p><strong>Marc Sloan</strong> has a PhD from UCL in Information Retrieval and is the author of the book 'Dynamic Information Retrieval Modeling’. He has published extensively on the topic of predictive web search, including during his time working at Microsoft Research. </p>
<p><br /></p>
<p><strong>Andy O’Harney</strong> holds a Master’s in Machine Learning from Glasgow University and worked on computational neuroscience for the Medical Research Council and Medical University of South Carolina before joining fintech startup Singletrack. Marc and Andy met on EF and started Context Scout. </p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Enterprise Solutions', 'value': 'enterpriseSolutions', 'selected': True}",https://contextscout.ai/
28,"{'label': 'EF3 (London)', 'value': 'ef3London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/converge.png,"[{'col1': 'Raphael Scheps', 'founderName': 'Raphael Scheps'}, {'col1': 'Gideon Farrell', 'founderName': 'Gideon Farrell'}]",313,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/convergelogo.png,Converge,"<p><strong></strong><strong>Converge </strong>is a hardware and software platform that works with existing sensors to store, analyze and display their data, automatically, in real­time. We charge a subscription fee per connected sensor, and a fixed fee for any hardware and installation.</p>
<p><strong><br /></strong></p>
<p><strong>Raphael Scheps</strong> is a Cambridge trained theoretical physicist, with years of experience in large-scale data analytics at Mellanox and the Weizmann institute.</p>
<p><br /></p>
<p><strong>Gideon Farrell</strong> is an astrophysicist from Cambruidge with 10 years of software experience. Gideon has worked on Intel’s pioneering IoT project, WISP.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Manufacturing/Industrial', 'value': 'manufacturingIndustrial', 'selected': True}",https://www.converge.io/
29,"{'label': 'EF7 (London)', 'value': 'ef7London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Screen-Shot-2017-07-07-at-11.39.42-AM.png,"[{'col1': 'Yazan Al Alami', 'founderName': 'Yazan Al Alami'}, {'col1': 'Lukas Dirzys', 'founderName': 'Lukas Dirzys'}]",330,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/Creative-AI.png,Creative AI,"<p><strong></strong><b>Creative AI</b> gives every business the power of a dedicated marketing team - what use to take them hours, now takes them just seconds. They currently use machine learning to automatically create social media posts, and they'll later start optimising other marketing activities. </p>
<p><strong><br /></strong></p>
<p><strong>Yazan Al Alami</strong> has founded and grew 2 marketing companies, where he helped local and global brands 10x their reach and engagement on social media. He graduated with a Master’s in engineering from Imperial College London.<br /></p>
<p><br /></p>
<p><strong>Lukas Dirzys</strong> is an expert in optimised image and text generation and he won the Google Prize for the best Master’s dissertation at the University of Edinburgh.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'AR/VR/Media', 'value': 'arVrMedia', 'selected': True}",www.creativeai.co.uk
30,"{'label': 'EF5 (London)', 'value': 'ef5London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/CREDIT-KUDOS_170807_155942.JPG,"[{'col1': 'Freddy Kelly', 'founderName': 'Freddy Kelly'}, {'col1': 'Matt Schofield', 'founderName': 'Matt Schofield'}]",328,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/Credit-Kudos_Logo.png,Credit Kudos,"<p><strong>Credit Kudos</strong> is a challenger credit bureau developing a Financial Behaviour Score based on real-time financial data. The company recently became the first of its kind to receive full authorisation from the FCA as a Credit Reference Agency. The Credit Kudos platform gathers information from your online banking to determine your suitability when applying for financial products.</p>
<p><strong>Matt Schofield and Freddy Kelly</strong> met studying Computer Science at the University of Manchester. Prior to founding Credit Kudos, Matt was leading Data Science teams for Universal Music Group (UMG) and CTO of UMG's music discovery platform, SpinnUp. Freddy joined Bitnami (YC W13) after graduation where he was responsible for development of their cloud launchpad, deployed initially for Microsoft and later a number of other cloud vendors including Google, Amazon and VMWare. Freddy went on to be the first engineer at A16z backed financial analytics platform, TXN.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Finance', 'value': 'finance', 'selected': True}",https://creditkudos.com/
31,"{'label': 'EF6 (London)', 'value': 'ef6London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Screen-Shot-2017-07-07-at-1.33.19-PM.png,"[{'col1': 'Shahram Mossayebi', 'founderName': 'Shahram Mossayebi'}, {'col1': 'Patrick Camilleri', 'founderName': 'Patrick Camilleri'}]",332,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/CryptoQuantique-Logo-square.png,CryptoQuantique,"<p>There will be 20 billion connected devices by 2020 in buildings, electric grids, transportation systems and other critical infrastructures. This creates huge security risk. We develop quantum cybersecurity products in the form of hardware and software which harness the best of both worlds, combining cutting edge quantum technologies with the best of modern cryptography. Our products are safe, secure, and can be integrated into existing network infrastructure with minimal disruption.</p>
<p><br /></p>
<p><strong>Shahram Mossayebi</strong> has a PhD in Post-Quantum Cryptography from Royal Holloway University of London. He also has an Information Security Master‘s degree. He has written scientific papers on the security of modern cryptosystems against quantum adversaries.</p>
<p><br /></p>
<p><strong>Patrick Camilleri</strong> has a PhD in Neuromorphic Engineering from Otto-von-Guericke University in Germany. He worked at Philips Semiconductors Zurich where he designed semiconductor chips for mobile phones. Most recently Patrick was a Postdoc at the University of Manchester where he researched parallel computing.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Security', 'value': 'security', 'selected': True}",https://cryptoquantique.com/
32,"{'label': 'EF6 (London)', 'value': 'ef6London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Screen-Shot-2017-07-07-at-1.41.10-PM.png,"[{'col1': 'Sheenu Chawla', 'founderName': 'Sheenu Chawla'}, {'col1': 'Seyed Saeid Masoumzadeh', 'founderName': 'Seyed Saeid Masoumzadeh'}]",334,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Cyra.png,Cyra,"<p><strong>Cyra</strong> is an AI recruiting assistant using state of the art Machine Learning and natural language processing technology. She understands your needs and helps you source the best talent by learning and adapting to your preferences. She helps you throughout the end-to-end recruitment process by automating the interview scheduling and sending smart follow up notifications to candidates</p>
<p><br /></p>
<p>
</p>
<p><strong>Sheenu Chawla</strong> was previously CEO of a start up specialising in mobile-first products. Her last startup was acquired by a publically listed finance company in 2014. Over the last 7 years, she has experienced the challenges a start up faces while dealing with recruitment agencies.</p>
<p><br /></p>
<p><strong>Seyed Saeid Masoumzadeh</strong> has a Master’s in Artificial Intelligence and a PhD in Self-Adaptive and Self-Organizing Systems from University of Vienna. He is an expert in Deep Learning, Reinforcement Learning and Natural Language Processing, the technologies powering Cyra. He has published in top-ranked international journals across a range of subjects including autonomic computing. </p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Enterprise Solutions', 'value': 'enterpriseSolutions', 'selected': True}",https://www.cyra.ai/
33,"{'label': 'EF2 (London)', 'value': 'ef2London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/echobox.png,"[{'col1': 'Antoine Amann', 'founderName': 'Antoine Amann'}]",339,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/echobox_160818_213342.png,Echobox,"<p><strong>Echobox</strong> technology allows news publishers and magazines to maximise their reach by building personalised performance predicting algorithms on top of audience graphs plus detailed recommendations to improve performance.</p>
<p><br /></p>
<p>They work with top international publishers incl. Le Monde, Haaertz, Cosmopolitan and Vice</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Enterprise Solutions', 'value': 'enterpriseSolutions', 'selected': True}",https://www.echobox.com/
34,"{'label': 'EF3 (London)', 'value': 'ef3London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/encore.png,"[{'col1': 'James McAulay', 'founderName': 'James McAulay'}, {'col1': 'James King', 'founderName': 'James King'}]",341,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/encore.png,Encore,<p>Marketplace for outstanding musicians</p>,"{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Commerce/Marketplace', 'value': 'commerceMarketplace', 'selected': True}",https://encoremusicians.com/
35,"{'label': 'EF7 (London)', 'value': 'ef7London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Screen-Shot-2017-07-07-at-10.54.55-AM.png,"[{'col1': 'Hasan Sheikh Faridul', 'founderName': 'Hasan Sheikh Faridul'}, {'col1': 'Mohamed Ben Arbia', 'founderName': 'Mohamed Ben Arbia'}]",343,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Eyn.png,Eyn,"<p><strong>Eyn</strong> is a biometric security company.  We combines advanced facial anti-spoofing and public key cryptography to transform your smartphone into an ID verification device with military grade security. This gives anyone an unbreakable biometric identity key.</p>
<p><br /></p>
<p><strong>Hasan Sheikh Faridul</strong> has a PhD in computer vision and machine learning. He worked for 7 years in the security industry in world leading companies such as Safran Security and Identity. As a research scientist, he developed fingerprint recognition algorithms that is now deployed on major international Airports.</p>
<p><br /></p>
<p><strong>Mohamed Ben Arbia</strong> completed his master’s at EPFL specialising in signal processing and machine learning. He worked at Technicolor R&amp;D on real time audio application and was a research student at LCAV lab at EPFL.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Security', 'value': 'security', 'selected': True}",http://eyn.vision/
36,"{'label': 'EF6 (London)', 'value': 'ef6London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Screen-Shot-2017-07-07-at-1.23.43-PM.png,"[{'col1': 'Jamie Potter', 'founderName': 'Jamie Potter'}, {'col1': 'Dionysios Xenos', 'founderName': 'Dionysios Xenos'}]",133,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/Flexciton.png,Flexciton,"<p><strong></strong><strong>Flexciton</strong> is building cutting edge, intelligent planning and scheduling software, powered by A.I. to help end-users of industrial machinery improve operational efficiency and reduce operational cost. </p>
<p><br /></p>
<p><strong>Jamie Potter</strong> has a Master’s in Mathematics and Statistics from the University of Oxford, where he graduated top of his year. He worked for a consultancy firm specialising in Energy. He was the lead developer of more than twenty software projects for large customers such as DECC, National Grid and RWE. The software was used to make multi-billion pound decisions. </p>
<p><strong><br /></strong></p>
<p><strong>Dr Dionysios Xenos</strong> did his PhD at Imperial College London, researching the optimisation of rotating equipment to reduce operational costs. He published 12 papers on the subject, and collaborated with world-leading chemical company BASF and one of the largest gas suppliers, Statoil, to put his research into action.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Manufacturing/Industrial', 'value': 'manufacturingIndustrial', 'selected': True}",http://www.flexciton.com/
37,"{'label': 'EF8 (London)', 'value': 'ef8London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/GTN.png,"[{'col1': 'Noor Shaker', 'founderName': 'Noor Shaker'}, {'col1': 'Vid Stojevic', 'founderName': 'Vid Stojevic'}]",1636,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/GTN.png,GTN,"<p><strong>GTN <strong>i</strong></strong>s a quantum leap in drug discovery. We search the astronomically large space of potential drug molecules with our patented technology based on quantum physics and machine learning, discovering drugs that were previously hidden from view. We can discover better drugs, more quickly, at half the cost.</p>
<p></p>
<p><strong>Noor Shaker</strong> is a professor from Aalborg University in Copenhagen with ten years of academic experience in machine learning. She has published more than 50 papers with 1000 citations and an entire book on generative networks. She has won a number of awards and grants for her research. </p>
<p><strong><br /></strong></p>
<p><strong>Vid Stojevic</strong> has spent the past ten years working on string theory and tensorial methods in quantum physics. He has held postdocs at UCL and the University of Vienna, published in numerous high impact journals, and his work has been presented at leading conferences.</p>
<p></p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Life Science', 'value': 'lifeScience', 'selected': True}",http://gtn.ai/
38,"{'label': 'EF3 (London)', 'value': 'ef3London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Alumni-Placeholder/_w1024/Pixel_emoji_2_170628_104737.png,"[{'col1': 'Rashid Mansoor', 'founderName': 'Rashid Mansoor'}, {'col1': 'Alec Mocatta', 'founderName': 'Alec Mocatta'}]",345,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/hadean.png,Hadean,"<p><strong>Hadean</strong> is unifying the performance and capabilities of HPC (high-performance computing) and the commoditisation and scale of 'big data', with easy-to-use development tools.</p>
<p><br /></p><p>The applications of the technology range from financial market prediction and climate modelling to deep learning and synthetic biology.</p>
<p><br /></p>
<p><strong>Alec Mocatta</strong> built an indoor positioning company whose technology beat out Cisco and Estimote for accuracy. He sold that company during EF to work full time on Hadean.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Infrastructure/Dev Tools', 'value': 'infrastructureDevTools', 'selected': True}",https://hadean.com/
39,"{'label': 'EFSG2 (Singapore)', 'value': 'efsg2Singapore', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/EFSG1.png,"[{'col1': 'Bhaskar Jyoti Dutta', 'founderName': 'Bhaskar Jyoti Dutta'}, {'col1': 'Ram Vignesh Palaniswamy', 'founderName': 'Ram Vignesh Palaniswamy'}]",1666,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/Hertzwell.png,Hertzwell,"<p>In the last 10 years, autonomous vehicle companies have been using laser spinning systems called LiDARs for navigation. Although LiDARs have improved in resolution, they can’t penetrate rain, dust, or fog due to physical limitations of lasers. <strong>Hertzwell</strong> is developing high resolution 3D imaging radars to help driverless vehicles navigate in all weather conditions.This approach uses all weather radar technology from the aerospace industry and miniaturises it for autonomous vehicles.</p>
<p><span class=""im""><br /></span></p>
<p><strong>Bhaskar Jyoti Dutta</strong> has over 6 years of experience in developing autonomous driving platforms. During his time in TATA, he was involved in research and development projects related to autonomous systems. He has also developed several automotive products for Fiat Chrysler and Delphi. He has a masters degree in Mechatronics from the National University of Singapore.</p>
<p>
</p>
<p><strong><br /></strong></p><p><strong>Ram Vignesh Palaniswamy</strong> is an aerospace engineer with deep knowledge in radar systems that are predominantly used in the aerospace industry. He recently won an award for his work on radars from Technical University of Munich and Nanyang Technological University.</p>","{'label': 'Singapore', 'value': 'singapore', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Automotive', 'value': 'automotive', 'selected': True}",https://hertzwell.com
40,"{'label': 'EF2 (London)', 'value': 'ef2London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/hubble.jpg,"[{'col1': 'Tushar Agarwal', 'founderName': 'Tushar Agarwal'}, {'col1': 'Tom Watson', 'founderName': 'Tom Watson'}]",346,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/hubble.jpg,Hubble,"<p><strong>Hubble</strong> is an online marketplace for renting office space. Hubble wraps the entire transaction: users search across office types, pay rent, sign contracts, in just a few clicks</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Commerce/Marketplace', 'value': 'commerceMarketplace', 'selected': True}",https://hubblehq.com/startups
41,"{'label': 'EFSG1 (Singapore)', 'value': 'efsg1Singapore', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Alumni-Placeholder/_w1024/Pixel_emoji_3.png,"[{'col1': 'Mohammad Sherafatmand', 'founderName': 'Mohammad Sherafatmand'}]",348,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Hydroleap.png,Hydroleap,"<p><strong>Hydroleap</strong> is making wastewater treatment cheap, fast and easy. Their patent-pending design is revolutionising pre-treatment of wastewater by replacing chemical treatment with electrical treatment at scale. This leads to saving of 15 billion dollars a year. </p>
<p><br /></p>
<p><strong>Mohammad Sherafatmand</strong> did his PhD at National University of Singapore, researching the development and application of novel electrochemical technologies in water and wastewater treatment. He has more than 6 years of experience in the water industry and has collaborated with well-recognized water companies such as the Public Utilities Board (PUB). </p>","{'label': 'Singapore', 'value': 'singapore', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Manufacturing/Industrial', 'value': 'manufacturingIndustrial', 'selected': True}",https://hydroleap.com/
42,"{'label': 'EFSG1 (Singapore)', 'value': 'efsg1Singapore', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/immerzen-labs.png,"[{'col1': 'Ronak Bajaj', 'founderName': 'Ronak Bajaj'}, {'col1': 'Rishabh Ranjan', 'founderName': 'Rishabh Ranjan'}, {'col1': 'Lokesh Dhakar', 'founderName': 'Lokesh Dhakar'}]",350,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Immerzen.jpg,Immerzen Labs,"<p><strong>Immerzen Labs</strong> is using advanced signal processing, machine learning and computational optimization techniques to create next generation audio technologies for simulated worlds to replicate natural hearing. Our technology will power the hardware and software for VR/AR applications including communication, gaming and education. </p>
<p><br /></p>
<p><strong>Rishabh Ranjan</strong> is an expert in the area of 3D audio, adaptive signal processing and active noise control. He has a PhD from NTU and applied machine learning and audio signal processing in developing headphones for augmented reality.</p>
<p><br /></p>
<p><strong>Ronak Bajaj</strong> completed his PhD from NTU, Singapore. His research focused on fast and efficient implementations of computationally intensive signal processing applications on FPGAs. Prior to joining NTU, Ronak has worked at Xilinx Research Labs, India.</p>
<p><br /></p>
<p><strong>Lokesh Dhakar</strong> is an award winning scientist with a PhD from NUS in sensor design. He also holds an MBA from NUS Business school.</p>","{'label': 'Singapore', 'value': 'singapore', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'AR/VR/Media', 'value': 'arVrMedia', 'selected': True}",http://immerzenlabs.com/
43,"{'label': 'EF6 (London)', 'value': 'ef6London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Screen-Shot-2017-07-07-at-1.36.00-PM.png,"[{'col1': 'Zheng Lin', 'founderName': 'Zheng Lin'}, {'col1': 'Kaiyan Xiao', 'founderName': 'Kaiyan Xiao'}]",353,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Intelligent-Robot.png,Intelligent Robots,"<p><strong></strong><strong>Intelligent Robots</strong> is developing Deep Learning powered robotic alternatives to conveyor belts. Our robot, rPuck, is low-cost, plug-and-play and flexible. rPuck can automatically build a map of warehouses and can go to any location on the map alongside humans without causing collisions.</p>
<p><strong><br /></strong></p>
<p><strong>Zheng Lin</strong> has a degree in robotics from Sheffield University and a Master's in Artificial Intelligence from Imperial College. He also published a world class academic paper on Artificial Neural Networks.</p>
<p><strong><br /></strong></p>
<p><strong>Kaiyan Xiao</strong> holds a Master's degree in Advanced Computing from Imperial College where he graduated top of his class. </p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Manufacturing/Industrial', 'value': 'manufacturingIndustrial', 'selected': True}",http://i-r.io/
